Iteration	start_1	end_1	start_2	end_2	start_3	end_3	start_4	end_4	start_5	end_5	start_6	end_6	start_7	end_7	start_8	end_8	start_9	end_9	start_10	end_10	start_11	end_11	start_12	end_12	start_13	end_13	start_14	end_14	start_15	end_15
1500	1	8	5	7	1	6	3	5	4	4	3	3	2	2	2	1	4	11	3	4	1	3	1	9	1	15	1	1	1	1
1510	4	8	4	7	3	6	3	5	1	4	5	3	5	2	2	1	1	5	3	1	2	3	1	2	3	4	1	3	1	1
1520	1	8	1	7	1	6	1	5	1	4	3	3	11	2	1	1	10	11	1	10	1	1	1	1	1	1	1	1	1	1
1530	2	8	2	7	1	6	1	5	2	4	1	3	1	2	1	1	11	1	1	11	1	1	1	1	1	2	1	1	1	1
1540	3	8	3	7	3	6	3	5	3	4	5	3	1	2	2	1	3	15	3	3	2	3	1	2	3	3	1	3	1	1
1550	1	8	1	7	3	6	9	5	3	4	2	3	16	2	1	1	3	16	2	3	1	9	1	1	3	1	1	3	1	1
1560	1	8	15	7	4	6	2	5	3	4	2	3	9	2	1	1	14	9	2	14	1	2	1	1	4	15	1	4	1	1
1570	3	8	3	7	3	6	2	5	3	4	16	3	2	2	2	1	14	16	2	14	2	2	1	2	3	3	1	3	1	1
1580	1	8	1	7	4	6	9	5	1	4	2	3	2	2	1	1	1	2	1	1	1	9	1	1	4	1	1	4	1	1
1590	5	8	5	7	2	6	1	5	4	4	2	3	2	2	1	1	4	2	1	4	1	1	1	1	2	5	1	2	1	1
1600	1	8	1	7	1	6	3	5	9	4	4	3	4	2	2	1	2	4	3	9	2	3	1	2	12	1	1	12	1	1
1610	5	8	5	7	3	6	2	5	2	4	5	3	2	2	2	1	2	16	2	2	2	2	1	2	1	5	1	10	1	1
1620	5	8	5	7	1	6	1	5	1	4	3	3	3	2	1	1	1	3	1	1	1	1	1	1	1	5	1	1	1	1
1630	5	8	5	7	2	6	1	5	5	4	5	3	5	2	1	1	4	5	2	18	1	9	1	1	2	5	1	2	1	1
1640	4	8	4	7	1	6	3	5	3	4	2	3	2	2	2	1	3	2	3	3	2	3	1	2	4	4	1	12	1	1
1650	5	8	5	7	2	6	1	5	3	4	17	3	3	2	2	1	3	17	1	3	2	1	1	2	2	5	1	2	1	1
